id,sku,product_name,price,original_price,discount,discount_rate,rating_average,review_count,quantity_sold_value,inventory_status,inventory_type,brand_id,brand_name,brand_slug,seller_id,seller_name,seller_store_id,category_id,category_name,snapshot_date,has_sold,quantity_sold_value_filled,possibly_delisted,reference_price,discount_rate_calc,discount_rate_diff,discount_rate_mismatch,price_bucket,discount_bucket,subcategory_proxy,crawled_review_count
163552503,5881492358780,"Máy Hàn Miệng Túi FS-200 – Giúp Bảo Quản Thực Vật Tươi Lâu Hơn, Áp Dụng Phổ Biến Trong Đời Sống – Hàng Chính Hãng MINIIN",285000,285000,0,0,4.8,18,100.0,available,backorder,5132069,MINIIN,miniin,134678.0,Smarthome29,124367.0,1882.0,Điện Gia Dụng,2026-08-15,True,100.0,False,285000,0.0,0.0,False,100-300k,0%,Khác / Chưa phân loại,18
163793863,5109965599645,Bếp Gas Hồng Ngoại Đôi Cao Cấp REDSTAR – Tặng bộ van dây - Hàng chính Hãng ( Màu Ngẩu Nhiên),549000,549000,0,0,4.0,1,3.0,available,backorder,5236655,RedStar,redstar,69337.0,Home Star Store,64779.0,1882.0,Điện Gia Dụng,2026-08-15,True,3.0,False,549000,0.0,0.0,False,300-700k,0%,Bếp điện/từ,1
163803714,2156725410445,Bếp Gas Hồng Ngoại Đôi Cao Cấp REDSTAR - Hàng chính Hãng ( Màu Ngẩu Nhiên),509000,509000,0,0,0.0,0,,available,backorder,5236655,RedStar,redstar,69337.0,Home Star Store,64779.0,1882.0,Điện Gia Dụng,2026-08-15,False,0.0,False,509000,0.0,0.0,False,300-700k,0%,Bếp điện/từ,0
163825318,2959555757644,Máy Xay Thịt 2 Lưỡi Dao Kép DAMAS KF-260 (2 Lít - 300W) - Hàng Chính Hãng,412000,800000,388000,49,4.7,69,732.0,available,backorder,4234729,Damas,damas,44857.0,DAMAS Official Store,43356.0,1882.0,Điện Gia Dụng,2026-08-15,True,732.0,False,800000,48.5,0.5,False,300-700k,30-50%,Máy xay,69
164238421,6451648147870,Nồi Chiên Không Dầu Kết Hợp Nồi Hấp - KUCHEN ĐỨC -  KU PCL2228 - 15 Lít - Hàng chính hãng.,6990000,6990000,0,0,5.0,2,8.0,available,backorder,542729,Kuchen,kuchen,9652.0,Crep Protect VN,9454.0,1882.0,Điện Gia Dụng,2026-08-15,True,8.0,False,6990000,0.0,0.0,False,>1.5tr,0%,Nồi chiên không dầu,2
166101842,5218784403392,Máy Xay Nấu Chân Không Đa Năng Mishio MK307 - Hàng Chính Hãng,2690000,2690000,0,0,5.0,2,7.0,available,backorder,51325,Mishio,mishio,160749.0,Mishio Kachi Official,148018.0,1882.0,Điện Gia Dụng,2026-08-15,True,7.0,False,2690000,0.0,0.0,False,>1.5tr,0%,Máy xay,2
167430417,1059015309654,Máy nhào bột tự động 5L Bear DM-B50V1 - Trộn bột thông minh - Hàng nhập khẩu,2490000,2490000,0,0,0.0,0,,available,backorder,198523,Bear,bear,20256.0,Telovietnam,19746.0,1882.0,Điện Gia Dụng,2026-08-15,False,0.0,False,2490000,0.0,0.0,False,>1.5tr,0%,Khác / Chưa phân loại,0
167433875,7582326496942,"Bếp hồng ngoại Domino 2 vùng, hàng chính hãng Electrolux EHC325BA",4450000,4450000,0,0,0.0,0,,available,backorder,19050,Electrolux,electrolux,197451.0,GIA ĐÌNH VIỆT KITCHEN,184484.0,1882.0,Điện Gia Dụng,2026-08-15,False,0.0,False,4450000,0.0,0.0,False,>1.5tr,0%,Bếp điện/từ,0
167925176,4065453335848,"Hộp cơm cắm điện hai tầng,  hộp cơm hâm nóng 2 BÁT INOX,  giữ nhiệt thích hợp cho dân văn phòng KitAcoom, hàng nhập khẩu chính hãng cao cấp ",269000,269000,0,0,2.3,3,4.0,available,backorder,4855937,KitAcoom,kitacoom,169426.0,KitAcoom Official,156463.0,1882.0,Điện Gia Dụng,2026-08-15,True,4.0,False,269000,0.0,0.0,False,100-300k,0%,Hộp đựng thực phẩm,3
168867541,8861937584918,Máy xay sinh tố cầm tay Philips HR2534/00 - Hàng chính hãng,1390000,1390000,0,0,0.0,0,,available,backorder,19018,Philips,philips,162514.0,Long Hưng Official Store,149585.0,1882.0,Điện Gia Dụng,2026-08-15,False,0.0,False,1390000,0.0,0.0,False,700k-1.5tr,0%,Máy xay,0
169324033,9468744139136,Bình đun siêu tốc Sharp 1.7 lít EKJ-17VSS-ST - Hàng chính hãng,990000,990000,0,0,5.0,1,2.0,available,backorder,19912,Sharp,sharp,162514.0,Long Hưng Official Store,149585.0,1882.0,Điện Gia Dụng,2026-08-15,True,2.0,False,990000,0.0,0.0,False,700k-1.5tr,0%,Ấm đun nước/Bình siêu tốc,1
169562687,9019211961548,"Bình siêu tốc inox 2 lớp 1,8L Sunhouse  SHD1351 - Hàng chính hãng (chỉ giao HN và một số khu vực)",285000,285000,0,0,5.0,1,4.0,available,backorder,41048,Sunhouse,sunhouse,247324.0,Cửa hàng Phương Phương,234356.0,2.0,Root,2026-08-15,True,4.0,False,285000,0.0,0.0,False,100-300k,0%,Khác / Chưa phân loại,1
169566026,5493775368572,Bếp từ cơ Sunhouse SHD6160 (Tặng Kèm nồi lẩu) [Hàng chính hãng],785000,785000,0,0,0.0,0,1.0,available,backorder,41048,Sunhouse,sunhouse,247324.0,Cửa hàng Phương Phương,234356.0,1882.0,Điện Gia Dụng,2026-08-15,True,1.0,False,785000,0.0,0.0,False,700k-1.5tr,0%,Nồi lẩu điện,0
169778432,1987477100261,Nồi Chiên Hơi Nước Cao Cấp 10 Trong 1 Mishio MK318 - Hàng Chính Hãng,4990000,4990000,0,0,0.0,0,3.0,available,backorder,51325,Mishio,mishio,160749.0,Mishio Kachi Official,148018.0,1882.0,Điện Gia Dụng,2026-08-15,True,3.0,False,4990000,0.0,0.0,False,>1.5tr,0%,Nồi/Chảo (khác),0
169930389,6402488931971,Nồi Cơm Điện Mini Eaststar 438 (1 lít) - Màu Ngẫu Nhiên - Hàng Chính Hãng,568000,568000,0,0,5.0,1,7.0,available,backorder,4529053,EastStar,eaststar,11119.0,GIA DỤNG VIỆT,10842.0,1882.0,Điện Gia Dụng,2026-08-15,True,7.0,False,568000,0.0,0.0,False,300-700k,0%,Nồi cơm điện,1
169933538,8103209305311,Nồi Cơm Điện Eaststar 538 (1.2 lít) - Màu Ngẫu Nhiên - Hàng Chính Hãng,658000,658000,0,0,5.0,2,2.0,available,backorder,4529053,EastStar,eaststar,11119.0,GIA DỤNG VIỆT,10842.0,1882.0,Điện Gia Dụng,2026-08-15,True,2.0,False,658000,0.0,0.0,False,300-700k,0%,Nồi cơm điện,2
169937001,9762165391522,Nồi Cơm Điện Eaststar 838 (1.8 lít) - Màu Ngẫu Nhiên - Hàng Chính Hãng,818000,818000,0,0,5.0,1,2.0,available,backorder,4529053,EastStar,eaststar,11119.0,GIA DỤNG VIỆT,10842.0,1882.0,Điện Gia Dụng,2026-08-15,True,2.0,False,818000,0.0,0.0,False,700k-1.5tr,0%,Nồi cơm điện,1
171238085,1829754502267,Máy sấy diệt khuẩn bát đĩa Nakamoto NK-D06 - Hàng chính hãng ,2990000,2990000,0,0,0.0,0,1.0,available,backorder,5659273,Nakamoto,nakamoto,81563.0,ECO HOMES TECH,75946.0,1882.0,Điện Gia Dụng,2026-08-15,True,1.0,False,2990000,0.0,0.0,False,>1.5tr,0%,Khác / Chưa phân loại,0
171656924,3717319588310,Nồi cơm điện Cuckoo 1.08L CR-0661 - Lòng nồi chống dính - Hàng chính hãng,1679000,1724000,45000,3,4.5,8,44.0,available,backorder,20439,Cuckoo,cuckoo,29960.0,CUCKOO Store,29294.0,1882.0,Điện Gia Dụng,2026-08-15,True,44.0,False,1724000,2.6102088167053363,0.38979118329466367,False,>1.5tr,0-10%,Nồi cơm điện,8
171828127,8715386444943,Nồi cơm điện KIPOR KP-N55918-1.8L-Lòng nồi niêu chống dính CERAMIC chống trầy xước dầy 3mm-Hàng chính hãng,1699000,1699000,0,0,5.0,13,15.0,available,backorder,272809,Kipor,kipor,257599.0,KIPOR STORE,244631.0,1882.0,Điện Gia Dụng,2026-08-15,True,15.0,False,1699000,0.0,0.0,False,>1.5tr,0%,Nồi cơm điện,13
171850667,7464558329024,"Máy Xay Thịt Cá Đa Năng Cối Inox 304 4 Lưỡi Cao Cấp, Công suất 250W - Nghiền Tỏi Ớt Rau Củ - Hàng Loại 1- Chính Hãng MINIIN",265000,265000,0,0,2.0,2,11.0,available,backorder,5132069,MINIIN,miniin,134678.0,Smarthome29,124367.0,1882.0,Điện Gia Dụng,2026-08-15,True,11.0,False,265000,0.0,0.0,False,100-300k,0%,Máy xay,2
171856533,9439650945179,Máy Xay Thịt 2 Lưỡi Kép BlueStone CHB-5145 (2 Lít) - Hàng chính hãng,551000,1299000,748000,58,4.6,14,70.0,available,instock,18977,Bluestone,bluestone,1.0,Tiki Trading,40395.0,2110.0,Máy xay thịt,2026-08-15,True,70.0,False,1299000,57.582755966127785,0.4172440338722154,False,300-700k,>50%,Máy xay,27
172064173,8393188336891,Máy Xay Sinh Tố Thịt Cá Đồ Ăn Dặm Đa Năng Cao Cấp 2 Tầng Lưỡi Nắp Bẹt Màu Nâu Tiện Dụng - HÀNG LOẠI 1 - Chính Hãng MINIIN ,193000,193000,0,0,0.0,0,5.0,available,backorder,5132069,MINIIN,miniin,134678.0,Smarthome29,124367.0,1882.0,Điện Gia Dụng,2026-08-15,True,5.0,False,193000,0.0,0.0,False,100-300k,0%,Máy xay,0
172107995,8548940277008,"Bình thuỷ điện KIPOR KP-EP642 - 4,2L - Ruột bình inox 304 -  Đun sôi nhanh, có tay cầm, chế độ tự bật, tự ngắt, 3 chế độ lấy nước - Hàng chính hãng",1899000,1899000,0,0,5.0,8,11.0,available,backorder,272809,Kipor,kipor,257599.0,KIPOR STORE,244631.0,1882.0,Điện Gia Dụng,2026-08-15,True,11.0,False,1899000,0.0,0.0,False,>1.5tr,0%,Khác / Chưa phân loại,8
172111121,6324876677563,Nồi chiên không dầu KIPOR KP-AF655 - 24L - Lò nướng 2 mặt trên dưới RAPID AIR đối lưu toả nhiệt đều - Thân nồi inox 304 - Hàng chính hãng,5199000,5199000,0,0,5.0,4,7.0,available,backorder,272809,Kipor,kipor,257599.0,KIPOR STORE,244631.0,1882.0,Điện Gia Dụng,2026-08-15,True,7.0,False,5199000,0.0,0.0,False,>1.5tr,0%,Nồi chiên không dầu,4
